"LOCATIE gegevens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","X-coordinaat","Y-coordinaat","CRS","Kaartblad","Bepaling locatie","Maaiveldhoogte (m tov NAP)","Bepaling maaiveldhoogte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B51F0474","176510","397918","Rijksdriehoeksmeting","51F","GPS (Global Positioning System)","17.0","gemeten, overige methoden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KWALITEIT gegevens VAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","Monster datum","Monster-nr","Deelmonster-nr","Meting nr","Bovenkant monster (m tov MV)","Onderkant monster (m tov MV)","Al2O3 (%)","As (mg/kg)","Ba (mg/kg)","CaO (%)","Cr (mg/kg)","Cu (mg/kg)","Fe2O3 (%)","Ga (mg/kg)","K2O (%)","La (mg/kg)","MgO (%)","MnO (%)","Na2O (%)","Nb (mg/kg)","Nd (mg/kg)","Ni (mg/kg)","P2O5 (%)","Pb (mg/kg)","Rb (mg/kg)","S (%)","Sc (mg/kg)","SiO2 (%)","Sn (mg/kg)","Sr (mg/kg)","TGA(105-1000) (%)","TGA(105-450) (%)","TGA(20-105) (%)","TGA(450-550) (%)","TGA(550-800) (%)","TGA(800-1000) (%)","Th (mg/kg)","TiO2 (%)","U (mg/kg)","V (mg/kg)","Y (mg/kg)","Zn (mg/kg)","Zr (mg/kg)"
"B51F0474","01-08-2004","L2004-08-1640","1","1","21.4","21.43","6.428","4.47585","196.8","10.34573","38.4","4.36744","2.08038","6.78671","1.62527","18.22145","2.15126","0.05955","1.03413355555556","5.79095","15.3","17.52445","0.06218","10.67153","58.59486","0.0524995075757576","5.6","62.10695","0.33603","215.2892","","","","","","","4.12072","0.2459","2.00423","31.6","16.46019","26.43606","122.3828"
"B51F0474","01-08-2004","L2004-08-1640","2","1","21.4","21.43","","","","","","","","","","","","","","","","","","","","","","","","","10.93014","0.4748","0.294","0.4011","10.01","0.04424","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1641","1","1","22.55","22.58","7.0822","6.65123","185.4","13.32616","47.5","7.03946","2.00097","7.68645","1.61753","13.60881","2.76578","0.04998","0.935333555555556","6.90563","16.7","21.1934","0.06484","10.75632","60.43168","0.0977595075757576","7.1","56.38219","< 0","270.246","","","","","","","4.94288","0.30222","1.47265","36.7","16.80878","31.64409","168.87302"
"B51F0474","01-08-2004","L2004-08-1641","2","1","22.55","22.58","","","","","","","","","","","","","","","","","","","","","","","","","13.30557","0.4376","0.4182","0.5286","12.31","0.02937","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1642","1","1","23.3","23.33","4.59843","4.48945","221.5","1.08919","28.4","1.44047","0.9864","5.0538","1.45198","15.69796","0.48298","0.02698","0.979423555555556","5.26238","10.9","8.112","0.04275","8.66093","48.2934","0.0137095075757575","2.1","83.54185","2.45429","58.65053","","","","","","","6.55159","0.1803","1.63044","18.6","13.42967","12.08079","113.71445"
"B51F0474","01-08-2004","L2004-08-1642","2","1","23.3","23.33","","","","","","","","","","","","","","","","","","","","","","","","","1.58822","0.2804","0.08875","0.08328","1.194","0.03054","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1643","1","1","23.6","23.63","15.12997","5.47281","275.3","6.04168","98.3","28.24226","7.72631","17.31224","2.63338","31.1392","3.52581","0.19526","0.397653555555556","15.30835","27.4","56.86499","0.10759","21.94525","125.23356","0.0620295075757576","12.3","55.6542","5.92691","124.98874","","","","","","","11.43338","0.69751","2.60115","108.8","32.26614","91.34597","155.69359"
"B51F0474","01-08-2004","L2004-08-1643","2","1","23.6","23.63","","","","","","","","","","","","","","","","","","","","","","","","","12.4898","3.761","1.785","2.003","6.608","0.1178","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1644","1","1","24.4","24.43","6.65842","8.45505","211","7.39053","45.3","4.30535","2.16494","6.40352","1.67666","16.86387","2.17237","0.05727","1.05019355555556","6.70913","18.4","16.81399","0.07348","10.01238","59.37029","0.0945195075757576","6.2","66.52426","5.31613","154.05344","","","","","","","6.87812","0.28245","2.23673","33.4","22.89732","26.16048","194.22447"
"B51F0474","01-08-2004","L2004-08-1644","2","1","24.4","24.43","","","","","","","","","","","","","","","","","","","","","","","","","8.55136","0.5464","0.2936","0.3825","7.583","0.03946","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1645","1","1","25.4","25.43","6.52236","8.70615","237.9","4.18555","38.7","2.69095","1.59768","6.48972","1.78406","13.73342","1.39627","0.03412","1.10483355555556","5.78194","17.9","14.91191","0.05769","9.8426","61.66734","0.0724595075757576","5.5","73.71288","3.15448","111.18129","","","","","","","1.07147","0.24636","1.5585","31.7","19.40967","21.80461","142.54128"
"B51F0474","01-08-2004","L2004-08-1645","2","1","25.4","25.43","","","","","","","","","","","","","","","","","","","","","","","","","4.97884","0.3513","0.2262","0.3417","4.206","0.07984","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1646","1","1","25.72","25.75","14.13274","6.54162","259.9","4.78985","93.9","26.80084","8.024","16.18419","2.49217","29.36237","3.47498","0.22155","0.433773555555556","13.90918","34.7","51.36479","0.10907","22.75392","116.55538","0.108399507575758","13.9","57.04321","< 0","98.47771","","","","","","","12.52224","0.62948","3.53643","110.3","35.73223","81.82162","147.68298"
"B51F0474","01-08-2004","L2004-08-1646","2","1","25.72","25.75","","","","","","","","","","","","","","","","","","","","","","","","","11.3742","3.775","1.885","1.933","5.546","0.1202","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1647","1","1","26.6","26.63","10.50535","12.51336","215.3","11.97194","66.2","14.84227","3.36489","10.98439","1.90109","22.86213","3.29153","0.05142","0.659463555555556","11.15676","20.9","33.78062","0.07564","17.24384","79.69379","0.311649507575758","10.3","55.03319","0.55599","235.06393","","","","","","","8.35769","0.54642","3.9491","61","22.78565","56.75876","207.8893"
"B51F0474","01-08-2004","L2004-08-1647","2","1","26.6","26.63","","","","","","","","","","","","","","","","","","","","","","","","","13.80568","1.126","0.8231","0.9734","11.63","0.07628","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1648","1","1","28.5","28.53","4.16195","4.3847","222.8","1.28759","32.8","0.93004","0.76782","4.50694","1.39567","11.47972","0.43723","0.02158","0.884133555555556","4.7143","8.7","6.94233","0.03709","8.16685","45.89837","0.00624950757575755","3.7","83.36517","2.12843","60.23846","","","","","","","2.35531","0.17035","1.3399","16.5","12.31615","10.2344","123.45838"
"B51F0474","01-08-2004","L2004-08-1648","2","1","28.5","28.53","","","","","","","","","","","","","","","","","","","","","","","","","1.65223","0.1933","0.05985","0.09527","1.331","0.03266","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1649","1","1","30.0","30.03","5.45948","3.59691","244.3","0.72072","29.8","2.26314","1.15458","5.37224","1.67488","13.73503","0.52095","0.02779","1.08136355555556","5.1334","12.5","10.91799","0.04649","9.56313","55.9077","0.00958950757575755","3.8","82.62843","3.49149","57.46057","","","","","","","2.94346","0.19411","1.25212","24.1","15.34741","18.32213","111.7272"
"B51F0474","01-08-2004","L2004-08-1649","2","1","30.0","30.03","","","","","","","","","","","","","","","","","","","","","","","","","1.43071","0.2861","0.1155","0.2457","0.8122","0.08671","","","","","","",""
"B51F0474","01-08-2004","L2004-08-1651","1","1","31.9","31.93","5.44002","4.67118","266.7","0.67431","24.9","3.93952","1.18805","5.31543","1.74019","10.79962","0.53423","0.02779","1.02925355555556","4.38403","6.6","12.60098","0.03929","10.92155","58.80153","0.0163095075757576","3.1","82.07847","< 0","53.50191","","","","","","","4.60306","0.15999","1.1134","23.3","13.45966","19.19506","79.95438"
"B51F0474","01-08-2004","L2004-08-1651","2","1","31.9","31.93","","","","","","","","","","","","","","","","","","","","","","","","","1.48523","0.355","0.1772","0.1201","0.9501","0.06003","","","","","","",""
