Well_ID,BRO-ID,Filter,Date,Nitrate,Chloride,Oxygen,Temperature,Acidity,geometry
GMW000000050682,GAR000000052141,1,1989-05-03T12:00:00+02:00,,4370.0,,,,POINT (3.51244206 51.306675572)
GMW000000050682,GAR000000052142,1,1990-08-27T12:00:00+02:00,,4170.0,,,,POINT (3.51244206 51.306675572)
GMW000000050682,GAR000000052160,1,1987-10-21T11:00:00+01:00,,4743.0,,,,POINT (3.51244206 51.306675572)
GMW000000050682,GAR000000052262,1,1989-11-28T11:00:00+01:00,,4000.0,,,,POINT (3.51244206 51.306675572)
GMW000000050682,GAR000000052406,1,1991-11-28T11:00:00+01:00,,5030.0,,,,POINT (3.51244206 51.306675572)
GMW000000050691,GAR000000051631,1,1989-11-28T11:00:00+01:00,,155.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000051697,1,1989-05-03T12:00:00+02:00,,180.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000051716,2,1991-04-17T12:00:00+02:00,,12000.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000051755,1,1990-08-28T12:00:00+02:00,,300.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000051776,1,1987-09-21T12:00:00+02:00,,240.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000051887,2,1988-05-02T12:00:00+02:00,,12010.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000051902,1,1994-06-07T12:00:00+02:00,,162.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000051924,2,1990-08-28T12:00:00+02:00,,12560.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000051945,2,1987-09-21T12:00:00+02:00,,11975.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000052149,1,1990-03-20T11:00:00+01:00,,195.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000052166,2,1991-11-28T11:00:00+01:00,,12553.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000052168,2,1988-10-21T11:00:00+01:00,,11895.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000052195,2,1994-06-07T12:00:00+02:00,,12254.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000052200,1,1996-07-02T12:00:00+02:00,,229.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000052276,1,1988-05-02T12:00:00+02:00,,35.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000052284,1,1988-10-21T11:00:00+01:00,,155.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000052469,2,1989-11-28T11:00:00+01:00,,12525.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000052477,2,1990-03-20T11:00:00+01:00,,165.0,,,,POINT (3.570373677 51.339600757)
GMW000000050691,GAR000000052492,2,1989-05-03T12:00:00+02:00,,12265.0,,,,POINT (3.570373677 51.339600757)
